User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
12761860,female,42,154,52,17,101,40.6,101
13434310,female,35,151,51,12,93,39.9,60
12447334,female,58,163,67,20,100,40.7,118
12080067,female,25,172,70,16,92,40.6,71
14663929,male,65,193,99,5,89,39.3,28
17646217,male,59,193,91,2,80,38.3,7
18903525,male,58,191,91,10,91,39.6,53
12277432,female,26,170,67,19,97,40.6,96
16103951,male,38,189,90,22,109,40.7,155
19057565,male,48,176,84,17,89,40.4,74
11523134,male,23,169,71,16,102,40.1,78
13972621,female,25,162,56,30,106,40.4,184
10411621,male,73,176,81,22,102,40.8,165
17269324,male,79,169,76,23,95,40.6,152
10530887,female,28,154,55,12,95,40.2,60
15497678,female,25,169,68,11,96,40.1,54
17995892,male,47,182,89,18,94,40.7,93
17300463,female,28,176,72,27,112,40.7,178
13944797,female,74,189,85,28,111,40.9,200
13248962,female,23,151,51,12,98,40.4,64
18288565,female,23,151,48,29,110,40.9,192
13957620,female,23,176,67,11,85,39.6,41
13219901,male,49,180,83,21,94,40.6,108
11160770,male,70,175,83,27,106,40.6,216
14869660,male,45,187,85,18,91,40.4,82
19644436,female,20,152,53,3,76,38.3,9
19154250,female,62,158,59,29,111,41,211
18274702,female,53,136,43,24,103,41.2,156
14938136,male,23,189,87,16,99,40.4,76
13754858,male,34,201,107,2,95,38.2,10
10440546,female,25,158,58,29,107,40.9,180
15589598,male,48,186,86,28,106,40.9,196
19570514,male,33,162,70,19,100,40.4,95
19550523,male,21,184,89,22,104,40.6,120
10828032,female,34,179,68,19,102,40.6,108
15763672,female,70,155,58,4,87,38.9,19
13202100,male,22,187,89,4,78,39.1,6
12804723,male,65,181,80,25,109,40.8,203
16606738,female,76,155,63,13,94,39.9,73
17787316,female,64,170,69,22,100,40.4,132
18648123,male,35,175,80,26,106,40.7,162
12055395,male,21,176,79,18,97,40.5,75
14964864,female,54,153,51,8,87,39.5,37
13043269,male,51,186,90,2,83,38.1,7
18857418,female,56,149,49,14,92,40.1,74
15949814,female,58,162,60,21,106,40.8,140
18974698,female,78,161,59,16,89,40.2,83
15503974,male,27,196,100,20,92,40.4,83
17271551,male,24,189,82,15,97,40,66
14601630,female,27,177,72,10,90,39.7,42
15005792,male,70,189,90,14,95,40.1,91
12878524,male,22,194,96,14,92,40.2,54
10581265,male,22,188,89,7,80,39.2,13
17401482,male,60,180,79,4,87,38.9,18
13595349,male,22,190,88,3,79,39,5
12063723,male,59,181,84,12,95,40,70
19692512,male,61,193,99,18,104,40.1,137
10770371,female,21,174,73,3,93,38.2,13
13678213,male,23,201,101,27,103,40.9,153
19515118,male,30,187,85,13,94,40.5,56
11658955,male,44,185,82,14,100,40.5,81
14887122,male,74,182,88,14,91,39.7,84
13612977,female,43,161,63,11,90,40,51
16922982,male,33,185,91,17,91,40.1,70
14567014,male,20,185,82,6,83,39.5,12
13975608,female,51,160,66,3,76,38.5,10
19467825,male,32,187,85,11,87,39.9,37
