ID,Kohorte,Klasse,Geschlecht,Augenfarbe,Groesse,Gewicht,Statistik,Schuhgroesse
1,phy14,2,w,blau,170,62,3,42
2,phy14,1,w,gruen,160,56,2,37
3,phy14,1,w,blau,169,68,2,38
4,phy14,1,m,blau,182,70,2,43
5,phy14,1,w,gruen,173,73,2,40
6,phy14,1,m,gruen,190,90,3,45
7,phy14,2,w,blau,172,62,3,40
8,phy14,1,w,blau,170,59,2,38
9,phy14,1,w,blau,167,60,2,38
10,phy14,2,w,braun,175,62,5,39
11,phy14,1,w,gruen,173,73,2,40
12,phy14,2,w,gruen,169,63,2,39
13,phy14,1,w,blau,169,51,3,38
14,phy14,1,w,blau,169,59,2,39
15,phy14,1,w,gruen,180,70,3,40
16,phy14,1,w,braun,164,60,4,38
17,phy14,1,w,braun,165,65,4,39
18,phy14,2,w,braun,168,51,3,38
19,phy14,2,w,braun,167,69,2,39
20,phy14,2,m,blau,174,70,3,43
21,phy14,2,w,blau,156,48,3,36
22,phy14,2,w,gruen,161,59,4,39
23,phy14,2,w,blau,170,55,4,38
24,phy14,2,w,blau,168,65,4,39
25,phy14,2,w,blau,170,65,3,39
26,phy14,1,w,blau,175,60,2,40
27,phy14,1,w,blau,165,65,4,39
28,phy14,2,w,braun,165,57,3,37
29,phy14,2,m,braun,180,80,3,43
30,phy14,1,w,braun,164,62,5,41
31,phy14,1,w,braun,170,60,4,40
32,phy14,1,w,braun,170,60,4,40
33,phy14,2,m,gruen,173,70,3,42
34,phy14,2,w,blau,170,60,2,39
35,phy14,1,m,gruen,182,56,4,46
36,phy14,2,w,braun,171,60,3,39
37,phy14,2,w,blau,164,65,3,38
38,phy14,1,w,blau,168,62,2,39
39,phy14,1,w,blau,168,65,3,38
40,phy14,1,m,gruen,176,71,4,42
41,phy14,2,m,gruen,183,69,3,43
42,phy14,1,w,gruen,170,65,4,38
43,phy14,2,w,braun,164,54,4,37
44,phy13,2,w,braun,170,56,NA,39
45,phy13,2,w,braun,165,54,NA,36
46,phy13,2,w,blau,172,64,NA,39
47,phy13,1,w,blau,167,65,NA,38
48,phy13,2,w,blau,164,53,NA,37
49,phy13,1,m,gruen,180,77,NA,44
50,phy13,2,w,gruen,162,54,NA,38
51,phy13,2,w,braun,172,63,NA,40
52,phy13,1,w,blau,162,63,NA,39
53,phy13,1,w,blau,168,59,NA,38
54,phy13,2,w,braun,170,60,NA,38
55,phy13,2,w,braun,165,56,NA,37
56,phy13,2,w,braun,172,60,NA,37
57,phy13,1,w,braun,162,47,NA,36
58,phy13,1,w,blau,165,64,NA,39
59,phy13,1,w,braun,174,64,NA,39
60,phy13,1,m,blau,180,68,NA,43
61,phy13,1,w,blau,167,57,NA,38
62,phy13,1,w,blau,168,67,NA,38
63,phy13,2,m,gruen,187,75,NA,45
64,phy13,1,w,blau,169,53,NA,37
65,phy13,2,w,blau,164,60,NA,37
66,phy13,2,w,blau,165,63,NA,39
