Stud,mA_mitis_8,mA_fortis_8,mA_mitis_120,mA_fortis_120,Klasse
1,19.5,71,16,31,1
2,14.7,83,12.5,26,1
3,19.5,57,18,30,1
4,13.6,70,11.4,46,1
5,11,70,7.8,24.5,1
6,19,39,18,23,1
7,12.2,70,12.2,30,1
8,12.3,60,11.6,20,1
9,15.5,40,13.6,22,1
10,13.1,43,11.4,18.4,1
11,13.5,75,9.7,22,1
12,22.5,94,13.8,31,1
13,12.3,85,10,24,1
14,20,70,17.5,36,1
15,27.5,90,21.5,29.5,1
16,18,74,18,26.5,1
17,14.5,77,16.5,21,1
18,13.3,55,12,25.5,1
19,11,68,8.7,20.5,1
20,22,85,21,21,1
21,10.4,48,14.6,27,1
22,10.7,73,9.8,31,1
23,10.4,43,10.4,26.5,1
24,9.7,46,9.4,17,1
25,18.5,84,11.1,19,1
26,13.2,83,14.2,47,1
27,24.5,32,18.5,21.5,2
28,15,26,13,19,2
29,11.5,33,11.6,20,2
30,20.5,56,14.8,16.4,2
31,20.5,56,13.8,23.5,2
32,4.1,68,15,22,2
33,7.5,42,7.1,24.8,2
34,11,73,10.3,27.5,2
35,12.5,70,11,35,2
36,2.1,60,8.2,16,2
37,11.5,46,5.9,26,2
38,12.3,64,9.6,27.5,2
39,20,63,17,29.5,2
40,8.8,100,9.2,42,2
41,9.9,91,10.2,21.5,2
42,13.4,106,12.8,28,2
43,7.7,46,7.1,26,2
44,27,71,23,33,2
45,18,79,12.4,37,2
46,11.2,34,8.6,19.5,2
47,8.5,40,8.7,12,2
48,4.8,63,14.2,26.5,2
49,22.2,110,20,48,2
50,10.3,66,12.3,37,2
